04.0400x031 足神经探查术
04.0401 面神经解剖术
04.0402 颅神经探查术
04.0403 视神经鞘膜切开术
04.0404 面神经探查术
04.0405 喉返神经探查术
04.0406 副神经探查术
04.0407 舌下神经探查术
04.0408 周围神经探查术
04.0409 颈丛神经探查术
04.0410 臂丛神经探查术
04.0411 腰丛神经探查术
04.0412 骶丛神经探查术
04.0413 膈神经探查术
04.0414 坐骨神经探查术
04.0415 腋神经探查术
04.0416 肌皮神经探查术
04.0417 肩胛上神经探查术
04.0418 正中神经探查术
04.0419 尺神经探查术
04.0420 桡神经探查术
04.0421 指神经探查术
04.0422 肋间神经探查术
04.0423 股神经探查术
04.0424 胫神经探查术
04.0425 腓总神经探查术
04.0426 足底神经探查术
04.0500 半月神经节切除术
04.0600x001 颅神经节切除术
04.0600x002 周围神经节切除术
04.0700x030 神经内镜下经鼻腔视神经管减压术
04.0700x031 鼻内镜下视神经病损切除术
04.0700x032 鼻内镜下筛前神经烧灼术
04.0700x033 筛前神经烧灼术
04.0700x034 蝶腭神经烧灼术
04.0700x035 嗅神经病损切除术
04.0700x036 动眼神经病损切除术
04.0700x037 滑车神经病损切除术
04.0700x038 外展神经病损切除术
04.0700x039 舌咽神经病损切除术
04.0700x040 迷走神经病损切除术
04.0700x041 舌下神经病损切除术
04.0700x042 副神经病损切除术
04.0700x043 下颌神经病损切除术
04.0700x044 肋间神经病损切除术
04.0700x045 纵隔神经病损切除术
04.0700x046 腹膜后神经病损切除术
04.0700x047 肌皮神经病损切除术
04.0700x048 正中神经病损切除术
04.0700x049 指神经病损切除术
04.0700x050 闭孔神经病损切除术
04.0700x051 股神经病损切除术
04.0700x052 胫神经病损切除术
04.0700x053 足神经病损切除术
04.0700x054 正中神经撕脱术
04.0701 滑车神经撕脱术
04.0702 三叉神经撕脱术
04.0703 眶上神经撕脱术
04.0704 眶下神经撕脱术
04.0705 下牙槽神经撕脱术
04.0706 舌神经撕脱术
04.0707 颅神经病损切除术
04.0708 视神经病损切除术
04.0709 三叉神经病损切除术
04.0710 面神经病损切除术
04.0711 听神经病损切除术
04.0712 鼓室神经丛切除术
04.0713 周围神经病损切除术
04.0714 颈神经病损切除术
04.0715 臂丛神经病损切除术
