AA19	心肺移植
ER15	呼吸系统肿瘤，不伴并发症或合并症
ER27	肺水肿或呼吸衰竭，死亡转归
ER21	肺水肿或呼吸衰竭，伴严重并发症或合并症
ER23	肺水肿或呼吸衰竭，伴并发症或合并症
ER25	肺水肿或呼吸衰竭，不伴并发症或合并症
ES11	肺真菌病，伴严重并发症或合并症
ES13	肺真菌病，伴并发症或合并症
ES15	肺真菌病，不伴并发症或合并症
ES2_A15.1	呼吸系统结核，肺结核，仅经痰培养所证实
ES2_A16.2	呼吸系统结核，肺结核，未提及细菌学或组织学的证实
ES2_A16.4	呼吸系统结核，喉、气管和支气管结核，未提及细菌学
ES2_A16.9	呼吸系统结核，未特指的呼吸道结核，未提及细菌学或组织学的证实
ES2_9	呼吸系统结核，其他
ES31	呼吸系统感染/炎症，伴严重并发症或合并症
ES31_a	呼吸系统感染/炎症，伴严重并发症或合并症，65岁以上
ES33	呼吸系统感染/炎症，伴并发症或合并症
ES33_a	呼吸系统感染/炎症，伴并发症或合并症，65岁以上
ES35	呼吸系统感染/炎症，不伴并发症或合并症
ES35_a	呼吸系统感染/炎症，不伴并发症或合并症，65岁以上
ET17	肺间质性疾病，死亡转归
ET11	肺间质性疾病，伴严重并发症或合并症
ET13	肺间质性疾病，伴并发症或合并症
ET15	肺间质性疾病，不伴并发症或合并症
ET27	慢性气道阻塞病，死亡转归
ET2_J42.x	慢性气道阻塞病，弥漫性泛细支气管炎
ET2_J44.0	慢性气道阻塞病，慢性阻塞性肺病伴有急性下呼吸道感染
ET2_J44.8	慢性气道阻塞病，其他特指的慢性阻塞性肺病
ET2_9	慢性气道阻塞病，其他
EU19	重大胸部创伤
EV17	呼吸系统症状、体征，死亡转归
EV1_R09.2	呼吸系统症状、体征，呼吸停止
EV1_R09.8	呼吸系统症状、体征，累及循环和呼吸系统其他特指的症状和体征
EV1_9	呼吸系统症状、体征，其他
EW11	胸膜病变及胸腔积液，伴严重并发症或合并症
EW13	胸膜病变及胸腔积液，伴并发症或合并症
EW15	胸膜病变及胸腔积液，不伴并发症或合并症
EX19	哮喘及喘息性支气管炎
EX20	百日咳及急性支气管炎，年龄小于18岁
EX29	百日咳及急性支气管炎
EZ17	其他呼吸系统疾病，死亡转归
EZ11	其他呼吸系统疾病，伴严重并发症或合并症
EZ13	其他呼吸系统疾病，伴并发症或合并症
EZ15	其他呼吸系统疾病，不伴并发症或合并症
FB11	瓣膜手术伴冠脉手术，伴严重并发症或合并症
FB13	瓣膜手术伴冠脉手术，伴并发症或合并症
FB15	瓣膜手术伴冠脉手术，不伴并发症或合并症
FB21	心脏瓣膜手术，伴严重并发症或合并症
FB23	心脏瓣膜手术，伴并发症或合并症
FB25	心脏瓣膜手术，不伴并发症或合并症
FC1_36.1	冠状动脉手术，搭桥吻合术，为心脏血管再形成术
FC1_36.9	冠状动脉手术，心脏血管的其他手术
FC1_9	冠状动脉手术，其他
FD1_35.8	先天性心脏病复杂手术，某些先天性心脏异常的全部修补术
FD1_37.3	先天性心脏病复杂手术，心包切除术和心脏病损切除术
FD1_38.3	先天性心脏病复杂手术，血管部分切除术伴吻合术
FD1_35	先天性心脏病复杂手术，心脏瓣膜和间膈手术
FD1_9	先天性心脏病复杂手术，其他
FD2_35.3	先天性心脏病常规手术，心脏瓣膜邻近结构的手术
FD2_35.4	先天性心脏病常规手术，创建心脏间隔缺损
FD2_35.5	先天性心脏病常规手术，心房和心室间隔假体修补术
FD2_35.6	先天性心脏病常规手术，心房和心室间隔修补术，用组织移植物
FD2_35.7	先天性心脏病常规手术，心房间隔和心室间隔的其他和未特指的修补术
FD2_9	先天性心脏病常规手术，其他
FE1_38.4	大血管复杂手术，血管部分切除术伴置换术
FE1_9	大血管复杂手术，其他
FE29	大血管常规手术
FF11	外周血管手术伴介入操作，伴严重并发症或合并症
FF13	外周血管手术伴介入操作，伴并发症或合并症
FF15	外周血管手术伴介入操作，不伴并发症或合并症
FF2_38.0	外周血管(除大隐静脉外)其他的手术，血管切开术
FF2_38.6	外周血管(除大隐静脉外)其他的手术，血管的其他切除术
FF2_39.5	外周血管(除大隐静脉外)其他的手术，血管其他修补术
FF2_38	外周血管(除大隐静脉外)其他的手术，血管的切开、切除和闭合术
FF2_39	外周血管(除大隐静脉外)其他的手术，血管其他手术
FF2_9	外周血管(除大隐静脉外)其他的手术，其他
FF3_38.5	大隐静脉和小隐静脉手术，静脉曲张的结扎术和剥脱术
FF3_9	大隐静脉和小隐静脉手术，其他
FJ1_37.3	心血管系统其他手术，心包切除术和心脏病损切除术
FJ1_37.9	心血管系统其他手术，心脏和心包的其他手术
FJ1_9	心血管系统其他手术，其他
FK19	心脏循环辅助系统植入
FK29	伴急性心肌梗死/心衰/休克的心脏除颤器及心室同步
FK39	不伴急性心肌梗死/心衰/休克的心脏除颤器及心室同步
FK4_37.8	永久性起搏器植入/置换/更新，起搏器装置的置入、置换、去除和修复术
FK4_37.9	永久性起搏器植入/置换/更新，心脏和心包的其他手术
FL1_35.0	经皮瓣膜植入或修复术，闭合性心脏瓣膜切开术或心脏瓣膜经导管置换
FL1_35.9	经皮瓣膜植入或修复术，心脏瓣膜和间隔的其他手术
FL1_9	经皮瓣膜植入或修复术，其他
FL21	经皮心脏消融术伴房颤和/或房扑，伴严重并发症或合并症
FL23	经皮心脏消融术伴房颤和/或房扑，伴并发症或合并症
FL25	经皮心脏消融术伴房颤和/或房扑，不伴并发症或合并症
FL31	经皮心脏消融术除房扑、房颤外其他心律失常，伴严重并发症或合并症
FL33	经皮心脏消融术除房扑、房颤外其他心律失常，伴并发症或合并症
FL35	经皮心脏消融术除房扑、房颤外其他心律失常，不伴并发症或合并症
FL4_35.5	先天性心脏病介入治疗,心房和心室间隔假体修补术
